symbol,name,time,epsEstimate,reportedEps,suprise,date
FCEL,FuelCell Energy Inc,TAS,-2.14,-2.28,-6.54,2019-01-10
JEF,Jefferies Financial Group Inc,TAS,0.57,0.56,-1.75,2019-01-10
SMIT,Schmitt Industries Inc,Time Not Supplied,-,-,-,2019-01-10
PSSR,Passur Aerospace Inc,Time Not Supplied,-,-,-,2019-01-11
SKY,Skyline Champion Corp,Before Market Open,0.22,0.27,+22.73,2019-01-11
SYEV,Seychelle Environmental Technologies Inc,After Market Close,-,-,-,2019-01-11
PIXY,ShiftPixy Inc,After Market Close,-,-,-,2019-01-11
TSRI,TSR Inc,After Market Close,-,-,-,2019-01-11
YRCW,YRC Worldwide Inc,Before Market Open,0.38,0.64,+68.42,2019-01-11
NSPR,InspireMD Inc,Time Not Supplied,-,-,-,2019-01-11
IBKR,Interactive Brokers Group Inc,TAS,0.61,0.57,-6.56,2019-01-14
FRMO,FRMO Corp,Time Not Supplied,-,-,-,2019-01-14
LMNR,Limoneira Co,TAS,-0.31,-0.3,+3.23,2019-01-14
C,Citigroup Inc,TAS,1.55,1.61,+3.87,2019-01-14
MVC,MVC Capital Inc,Before Market Open,0.12,0.08,-33.33,2019-01-14
DENN,Denny's Corp,TAS,0.18,0.18,-,2019-01-14
ENR,Energizer Holdings Inc,TAS,1.49,1.64,+10.07,2019-01-14
WAFD,Washington Federal Inc,TAS,0.61,0.65,+6.56,2019-01-14
OSS,One Stop Systems Inc,Time Not Supplied,0.06,0.09,+50,2019-01-14
PTE,PolarityTE Inc,TAS,-0.91,-0.96,-5.49,2019-01-14
RWLK,Rewalk Robotics Ltd,TAS,-3.5,-3.25,+7.14,2019-01-14
DAL,Delta Air Lines Inc,TAS,1.27,1.3,+2.36,2019-01-15
CNBKA,Century Bancorp Inc,After Market Close,-,-,-,2019-01-15
FRC,First Republic Bank,TAS,1.23,1.29,+4.88,2019-01-15
BMRA,Biomerica Inc,TAS,-0.05,-0.05,-,2019-01-15
NCBS,Nicolet Bankshares Inc,After Market Close,0.98,1.11,+13.27,2019-01-15
CXKJ,CX Network Group Inc,Time Not Supplied,-,-,-,2019-01-15
UAL,United Continental Holdings Inc,TAS,2.04,2.41,+18.14,2019-01-15
FULT,Fulton Financial Corp,TAS,0.35,0.33,-5.71,2019-01-15
ENBP,ENB Financial Corp,Time Not Supplied,-,-,-,2019-01-15
JPM,JPMorgan Chase & Co,TAS,2.2,1.98,-10,2019-01-15
EDUC,Educational Development Corp,TAS,-,-,-,2019-01-15
SNV,Synovus Financial Corp,TAS,0.93,0.87,-6.45,2019-01-15
WFC,Wells Fargo & Co,TAS,1.17,1.09,-6.84,2019-01-15
HAFC,Hanmi Financial Corp,TAS,0.51,0.46,-9.8,2019-01-15
DAN,Dana Inc,TAS,0.65,0.71,+9.23,2019-01-15
PNFP,Pinnacle Financial Partners Inc,TAS,1.23,1.25,+1.63,2019-01-15
UNH,UnitedHealth Group Inc,TAS,3.21,3.28,+2.18,2019-01-15
UEEC,United Health Products Inc,Time Not Supplied,-,-,-,2019-01-15
INFO,IHS Markit Ltd,TAS,0.55,0.57,+3.64,2019-01-15
SVIN,Scheid Vineyards Inc,Time Not Supplied,-,-,-,2019-01-15
AA,Alcoa Corp,TAS,0.5,0.66,+32,2019-01-16
BAC,Bank of America Corp,TAS,0.63,0.7,+11.11,2019-01-16
CTBI,Community Trust Bancorp Inc,TAS,0.88,0.89,+1.14,2019-01-16
PLBC,Plumas Bancorp,After Market Close,-,-,-,2019-01-16
USB,U.S. Bancorp,TAS,1.06,1.07,+0.94,2019-01-16
UNB,Union Bankshares Inc,Time Not Supplied,-,-,-,2019-01-16
BLK,BlackRock Inc,TAS,6.27,6.08,-3.03,2019-01-16
EGBN,Eagle Bancorp Inc,TAS,1.14,1.17,+2.63,2019-01-16
BK,Bank of New York Mellon Corp,TAS,0.92,0.99,+7.61,2019-01-16
WBBW,Westbury Bancorp Inc,Time Not Supplied,-,-,-,2019-01-16
STBI,Sturgis Bancorp Inc,Time Not Supplied,-,-,-,2019-01-16
PLXS,Plexus Corp,TAS,0.9,0.91,+1.11,2019-01-16
CSX,CSX Corp,TAS,0.99,1.01,+2.02,2019-01-16
SCHW,Charles Schwab Corp,Before Market Open,0.64,0.65,+1.56,2019-01-16
CMA,Comerica Inc,TAS,1.87,1.88,+0.53,2019-01-16
FUL,HB Fuller Co,TAS,0.98,0.9,-8.16,2019-01-16
HWC,Hancock Whitney Corp,TAS,1.12,1.12,-,2019-01-16
FCCO,First Community Corp,Time Not Supplied,0.37,0.35,-5.41,2019-01-16
QEPC,QEP Co Inc,TAS,-,-,-,2019-01-16
PNC,PNC Financial Services Group Inc,TAS,2.79,2.75,-1.43,2019-01-16
FISV,Fiserv Inc,TAS,0.86,0.94,+9.3,2019-01-16
GS,Goldman Sachs Group Inc,TAS,4.45,6.04,+35.73,2019-01-16
KMI,Kinder Morgan Inc,TAS,0.26,0.25,-3.85,2019-01-16
MMND,Mastermind Inc,Time Not Supplied,-,-,-,2019-01-16
PTSI,PAM Transportation Services Inc,TAS,0.26,0.3,+15.38,2019-01-16
TEAM,Atlassian Corporation PLC,TAS,0.21,0.25,+19.05,2019-01-17
AXP,American Express Co,TAS,1.8,1.74,-3.33,2019-01-17
AMNB,American National Bankshares Inc,TAS,0.68,0.67,-1.47,2019-01-17
OZK,Bank Ozk,TAS,0.83,0.89,+7.23,2019-01-17
MBCN,Middlefield Banc Corp,Before Market Open,0.96,1.05,+9.38,2019-01-17
WABC,Westamerica Bancorp,TAS,0.7,0.71,+1.43,2019-01-17
CBSH,Commerce Bancshares Inc,TAS,0.94,0.96,+2.13,2019-01-17
SCBH,Seacoast Commerce Banc Holdings,Time Not Supplied,-,-,-,2019-01-17
HOMB,Home BancShares Inc,TAS,0.45,0.44,-2.22,2019-01-17
MTB,M&T Bank Corp,TAS,3.5,3.76,+7.43,2019-01-17
BMTC,Bryn Mawr Bank Corp,TAS,0.8,0.84,+5,2019-01-17
PACW,PacWest Bancorp,TAS,0.92,0.93,+1.09,2019-01-17
PFBC,Preferred Bank,TAS,1.23,1.08,-12.2,2019-01-17
INDB,Independent Bank Corp,TAS,1.2,1.07,-10.83,2019-01-17
BBT,BB&T Corp,TAS,1.04,0.97,-6.73,2019-01-17
BSET,Bassett Furniture Industries Inc,Before Market Open,0.37,0.17,-54.05,2019-01-17
JBHT,J B Hunt Transport Services Inc,TAS,1.48,1.78,+20.27,2019-01-17
SASR,Sandy Spring Bancorp Inc,TAS,0.79,0.72,-8.86,2019-01-17
SBNY,Signature Bank,TAS,2.8,2.94,+5,2019-01-17
MTG,MGIC Investment Corp,TAS,0.39,0.42,+7.69,2019-01-17
ENFC,Entegra Financial Corp,After Market Close,0.5,0.54,+8,2019-01-17
FAST,Fastenal Co,TAS,0.3,0.29,-3.33,2019-01-17
LION,Fidelity Southern Corp,Time Not Supplied,0.33,0.36,+9.09,2019-01-17
CSV,Carriage Services Inc,TAS,0.19,0.23,+21.05,2019-01-17
PRGS,Progress Software Corp,After Market Close,0.73,0.76,+4.11,2019-01-17
PBCT,People's United Financial Inc,TAS,0.34,0.35,+2.94,2019-01-17
PBCT,People's United Financial Inc,TAS,0.34,0.35,+2.94,2019-01-17
WNS,WNS (Holdings) Ltd,TAS,0.61,0.73,+19.67,2019-01-17
NFLX,Netflix Inc,TAS,0.24,0.3,+25,2019-01-17
PPG,PPG Industries Inc,TAS,1.1,1.15,+4.55,2019-01-17
IIIN,Insteel Industries Inc,TAS,0.14,0.19,+35.71,2019-01-17
KEY,KeyCorp,TAS,0.47,0.48,+2.13,2019-01-17
MS,Morgan Stanley,TAS,0.89,0.8,-10.11,2019-01-17
SRCE,1st Source Corp,Time Not Supplied,0.86,0.82,-4.65,2019-01-18
DIT,AMCON Distributing Co,After Market Close,-,-,-,2019-01-18
ATLO,Ames National Corp,Time Not Supplied,-,-,-,2019-01-18
STI,SunTrust Banks Inc,TAS,1.38,1.5,+8.7,2019-01-18
CVLY,Codorus Valley Bancorp Inc,Time Not Supplied,-,-,-,2019-01-18
CCBC,Chino Commercial Bancorp,Time Not Supplied,-,-,-,2019-01-18
GFED,Guaranty Federal Bancshares Inc,Time Not Supplied,0.55,0.53,-3.64,2019-01-18
BANF,BancFirst Corp,After Market Close,0.94,0.98,+4.26,2019-01-18
CBAN,Colony Bankcorp Inc,Before Market Open,-,-,-,2019-01-18
INBK,First Internet Bancorp,After Market Close,0.6,0.53,-11.67,2019-01-18
OVLY,Oak Valley Bancorp,Time Not Supplied,-,-,-,2019-01-18
OVLY,Oak Valley Bancorp,Time Not Supplied,-,-,-,2019-01-18
FCBI,Frederick County Bancorp Inc,Time Not Supplied,-,-,-,2019-01-18
BEDU,Bright Scholar Education Holdings Ltd,TAS,0.19,0.19,-,2019-01-18
FNLC,First Bancorp Inc,After Market Close,-,-,-,2019-01-18
VABK,Virginia National Bankshares Corp,Time Not Supplied,-,-,-,2019-01-18
GRRB,Grandsouth Bancorp,Time Not Supplied,-,-,-,2019-01-18
BOCH,Bank of Commerce Holdings,Time Not Supplied,0.24,0.21,-12.5,2019-01-18
PBIP,Prudential Bancorp Inc,After Market Close,-,-,-,2019-01-18
FHN,First Horizon National Corp,TAS,0.36,0.35,-2.78,2019-01-18
STT,State Street Corp,TAS,1.67,1.68,+0.6,2019-01-18
ENFC,Entegra Financial Corp,TAS,0.5,0.54,+8,2019-01-18
JCTCF,Jewett-Cameron Trading Company Ltd,After Market Close,-,-,-,2019-01-18
KSU,Kansas City Southern,TAS,1.54,1.56,+1.3,2019-01-18
CFG,Citizens Financial Group Inc,TAS,0.94,0.96,+2.13,2019-01-18
SOTK,Sono-Tek Corp,Before Market Open,-,-,-,2019-01-18
VFC,VF Corp,TAS,1.1,1.31,+19.09,2019-01-18
RF,Regions Financial Corp,TAS,0.38,0.37,-2.63,2019-01-18
HIFS,Hingham Institution For Savings,Time Not Supplied,-,-,-,2019-01-18
RYFL,Royal Financial Inc,After Market Close,-,-,-,2019-01-18
SLB,Schlumberger NV,TAS,0.36,0.36,-,2019-01-18
ZION,Zions Bancorp,After Market Close,1.05,1.08,+2.86,2019-01-21
FDEF,First Defiance Financial Corp,After Market Close,0.56,0.62,+10.71,2019-01-21
EFSC,Enterprise Financial Services Corp,TAS,0.95,1.02,+7.37,2019-01-21
RMD,ResMed Inc,After Market Close,0.95,1,+5.26,2019-01-21
AMTD,TD Ameritrade Holding Corp,TAS,1.01,1.11,+9.9,2019-01-22
FMBL,Farmers And Merchants Bank of Long Beach,Before Market Open,-,-,-,2019-01-22
ARAY,Accuray Inc,TAS,-0.08,-0.05,+37.5,2019-01-22
ASRV,Ameriserv Financial Inc,Before Market Open,-,-,-,2019-01-22
AEYE,AudioEye Inc,TAS,-0.11,-0.19,-72.73,2019-01-22
UBSH,Atlantic Union Bankshares Corp,TAS,0.68,0.67,-1.47,2019-01-22
ALMC,Alimco Financial Corp,Time Not Supplied,-,-,-,2019-01-22
ATI,Allegheny Technologies Inc,TAS,0.35,0.31,-11.43,2019-01-22
TBNK,Territorial Bancorp Inc,After Market Close,0.48,0.5,+4.17,2019-01-22
CBKM,Consumers Bancorp Inc,Time Not Supplied,-,-,-,2019-01-22
CMTV,Community Bancorp,Time Not Supplied,-,-,-,2019-01-22
HOPE,Hope Bancorp Inc,TAS,0.35,0.36,+2.86,2019-01-22
UCBI,United Community Banks Inc,TAS,0.55,0.57,+3.64,2019-01-22
BIOQ,Bioqual Inc,Time Not Supplied,-,-,-,2019-01-22
PEBO,Peoples Bancorp Inc,TAS,0.67,0.71,+5.97,2019-01-22
TBK,Triumph Bancorp Inc,TAS,0.7,0.67,-4.29,2019-01-22
SFST,Southern First Bancshares Inc,Time Not Supplied,0.73,0.75,+2.74,2019-01-22
EBSB,Meridian Bancorp Inc,After Market Close,0.29,0.24,-17.24,2019-01-22
ENTX,Entera Bio Ltd,Time Not Supplied,-0.35,-0.17,+51.43,2019-01-22
FBC,Flagstar Bancorp Inc,TAS,0.72,0.72,-,2019-01-22
ONB,Old National Bancorp,TAS,0.36,0.22,-38.89,2019-01-22
OFG,OFG Bancorp,TAS,0.42,0.45,+7.14,2019-01-22
UBNK,United Financial Bancorp Inc,TAS,0.31,0.21,-32.26,2019-01-22
IBM,International Business Machines Corp,TAS,4.82,4.87,+1.04,2019-01-22
FITB,Fifth Third Bancorp,TAS,0.67,0.69,+2.99,2019-01-22
BSRR,Sierra Bancorp,Before Market Open,0.54,0.51,-5.56,2019-01-22
TRST,TrustCo Bank Corp N Y,TAS,0.16,0.17,+6.25,2019-01-22
FBSS,Fauquier Bankshares Inc,Time Not Supplied,-,-,-,2019-01-22
TSBK,Timberland Bancorp Inc,Time Not Supplied,-,-,-,2019-01-22
CSFL,Centerstate Bank Corp,After Market Close,0.52,0.54,+3.85,2019-01-22
UBOH,United Bancshares Inc,Time Not Supplied,-,-,-,2019-01-22
GSBC,Great Southern Bancorp Inc,After Market Close,1.12,1.23,+9.82,2019-01-22
MBWM,Mercantile Bank Corp,TAS,0.61,0.7,+14.75,2019-01-22
ZION,Zions Bancorporation NA,After Market Close,1.05,1.08,+2.86,2019-01-22
NWBI,Northwest Bancshares Inc,Before Market Open,0.27,0.26,-3.7,2019-01-22
SFBS,ServisFirst Bancshares Inc,TAS,0.68,0.67,-1.47,2019-01-22
BFIN,BankFinancial Corp,TAS,0.23,0.44,+91.3,2019-01-22
PCLB,Pinnacle Bancshares Inc,Time Not Supplied,-,-,-,2019-01-22
SWK,Stanley Black & Decker Inc,TAS,2.1,2.11,+0.48,2019-01-22
GNTY,Guaranty Bancshares Inc,After Market Close,0.52,0.55,+5.77,2019-01-22
FMBI,First Midwest Bancorp Inc,TAS,0.47,0.46,-2.13,2019-01-22
RNST,Renasant Corp,TAS,0.78,0.78,-,2019-01-22
TRV,Travelers Companies Inc,TAS,2.06,2.13,+3.4,2019-01-22
OPOF,Old Point Financial Corp,Before Market Open,-,-,-,2019-01-22
SFNC,Simmons First National Corp,TAS,0.61,0.6,-1.64,2019-01-22
CIIX,ChineseInvestors.com Inc,Time Not Supplied,-,-,-,2019-01-22
COF,Capital One Financial Corp,TAS,2.37,1.87,-21.1,2019-01-22
HAL,Halliburton Co,TAS,0.37,0.41,+10.81,2019-01-22
NAVI,Navient Corp,TAS,0.47,0.58,+23.4,2019-01-22
GATX,GATX Corp,TAS,0.74,0.84,+13.51,2019-01-22
UTX,United Technologies Corp,Before Market Open,1.53,1.95,+27.45,2019-01-22
CZFC,Citizens First Corp,Time Not Supplied,-,-,-,2019-01-22
SGB,Southwest Georgia Financial Corp,TAS,-,-,-,2019-01-22
WTFC,Wintrust Financial Corp,TAS,1.57,1.35,-14.01,2019-01-22
CNMD,Conmed Corp,TAS,0.72,0.73,+1.39,2019-01-22
WSFS,WSFS Financial Corp,TAS,0.9,0.94,+4.44,2019-01-22
FNB,F.N.B. Corp,TAS,0.29,0.3,+3.45,2019-01-22
STLD,Steel Dynamics Inc,TAS,1.21,1.31,+8.26,2019-01-22
SODI,Solitron Devices Inc,Time Not Supplied,-,-,-,2019-01-22
PETS,Petmed Express Inc,TAS,0.48,0.38,-20.83,2019-01-22
HTLD,Heartland Express Inc,TAS,0.23,0.27,+17.39,2019-01-22
EDU,New Oriental Education & Technology Group Inc,Before Market Open,0.03,0.14,+366.67,2019-01-22
MBFI,MB Financial Inc,Before Market Open,0.75,0.67,-10.67,2019-01-22
LTXB,LegacyTexas Financial Group Inc,TAS,0.83,0.89,+7.23,2019-01-22
HMST,HomeStreet Inc,TAS,0.36,0.38,+5.56,2019-01-22
MOJO,MOJO Organics Inc,Time Not Supplied,-,-,-,2019-01-22
ITKG,Integral Technologies Inc,After Market Close,-,-,-,2019-01-22
PLD,Prologis Inc,TAS,0.42,0.94,+123.81,2019-01-22
ROL,Rollins Inc,Before Market Open,0.17,0.16,-5.88,2019-01-22
LRN,K12 Inc,TAS,0.56,0.59,+5.36,2019-01-22
JNJ,Johnson & Johnson,TAS,1.95,1.97,+1.03,2019-01-22
ATGN,Altigen Communications Inc,TAS,-,-,-,2019-01-23
AZPN,Aspen Technology Inc,TAS,0.62,0.92,+48.39,2019-01-23
APH,Amphenol Corp,TAS,0.98,1.05,+7.14,2019-01-23
USAP,Universal Stainless & Alloy Products Inc,TAS,0.32,0.07,-78.12,2019-01-23
ADTN,ADTRAN Inc,TAS,-0.03,-0.12,-300,2019-01-23
ABT,Abbott Laboratories,TAS,0.81,0.81,-,2019-01-23
FFBC,First Financial Bancorp,TAS,0.58,0.61,+5.17,2019-01-23
CVCY,Central Valley Community Bancorp,After Market Close,0.39,0.38,-2.56,2019-01-23
LOB,Live Oak Bancshares Inc,After Market Close,0.12,0.26,+116.67,2019-01-23
SMBC,Southern Missouri Bancorp Inc,TAS,0.72,0.81,+12.5,2019-01-23
BHBK,Blue Hills Bancorp Inc,After Market Close,0.28,0.28,-,2019-01-23
GCBC,Greene County Bancorp Inc,Time Not Supplied,-,-,-,2019-01-23
STBZ,State Bank Financial Corp,Before Market Open,-,-,-,2019-01-23
UBFO,United Security Bancshares,Time Not Supplied,-,-,-,2019-01-23
BANR,Banner Corp,TAS,1.04,1.09,+4.81,2019-01-23
CATY,Cathay General Bancorp,TAS,0.8,0.8,-,2019-01-23
CATC,Cambridge Bancorp,Time Not Supplied,-,-,-,2019-01-23
BFC,Bank First National Corp,Time Not Supplied,0.88,0.91,+3.41,2019-01-23
UNTY,Unity Bancorp Inc,Time Not Supplied,0.53,0.53,-,2019-01-23
BXS,Bancorpsouth Bank,TAS,0.54,0.51,-5.56,2019-01-23
GFED,Guaranty Federal Bancshares Inc,Time Not Supplied,0.55,0.53,-3.64,2019-01-23
WAKE,Wake Forest Bancshares Inc,Time Not Supplied,-,-,-,2019-01-23
CBU,Community Bank System Inc,TAS,0.8,0.78,-2.5,2019-01-23
CLDB,Cortland Bancorp,Time Not Supplied,-,-,-,2019-01-23
ESBK,Elmira Savings Bank,Time Not Supplied,-,-,-,2019-01-23
ESSA,ESSA Bancorp Inc,Time Not Supplied,0.28,0.27,-3.57,2019-01-23
OSBC,Old Second Bancorp Inc,After Market Close,0.3,0.28,-6.67,2019-01-23
FNLC,First Bancorp Inc,After Market Close,-,-,-,2019-01-23
BGG,Briggs & Stratton Corp,TAS,0.25,0.2,-20,2019-01-23
STL,Sterling Bancorp,TAS,0.5,0.52,+4,2019-01-23
OLBK,Old Line Bancshares Inc,Time Not Supplied,0.58,0.59,+1.72,2019-01-23
FCBC,First Community Bankshares Inc,TAS,0.56,0.58,+3.57,2019-01-23
LMST,Limestone Bancorp Inc,Time Not Supplied,-,-,-,2019-01-23
BIOX,Bioceres Crop Solutions Corp,Time Not Supplied,-,-,-,2019-01-23
TCBI,Texas Capital Bancshares Inc,TAS,1.59,1.38,-13.21,2019-01-23
BKU,BankUnited Inc,TAS,0.61,0.6,-1.64,2019-01-23
FBNC,First Bancorp,After Market Close,0.73,0.77,+5.48,2019-01-23
MPX,Marine Products Corp,TAS,0.19,0.14,-26.32,2019-01-23
HXL,Hexcel Corp,TAS,0.79,0.82,+3.8,2019-01-23
FFWC,FFW Corp,Time Not Supplied,-,-,-,2019-01-23
RLI,RLI Corp,TAS,0.09,0.4,+344.44,2019-01-23
UMPQ,Umpqua Holdings Corp,TAS,0.39,0.36,-7.69,2019-01-23
PGR,Progressive Corp,Before Market Open,1.01,1.24,+22.77,2019-01-23
SMED,Sharps Compliance Corp,TAS,0.04,0.05,+25,2019-01-23
CVBF,CVB Financial Corp,TAS,0.34,0.31,-8.82,2019-01-23
PG,Procter & Gamble Co,TAS,1.21,1.25,+3.31,2019-01-23
TEL,TE Connectivity Ltd,TAS,1.28,1.29,+0.78,2019-01-23
CCI,Crown Castle International Corp,TAS,0.44,0.44,-,2019-01-23
FBK,FB Financial Corp,TAS,0.63,0.55,-12.7,2019-01-23
LVS,Las Vegas Sands Corp,TAS,0.84,0.77,-8.33,2019-01-23
F,Ford Motor Co,TAS,0.31,0.3,-3.23,2019-01-23
COFS,ChoiceOne Financial Services Inc,Time Not Supplied,-,-,-,2019-01-23
HARL,Harleysville Financial Corp,Time Not Supplied,-,-,-,2019-01-23
NTRS,Northern Trust Corp,TAS,1.64,1.8,+9.76,2019-01-23
NVEC,NVE Corp,TAS,-,-,-,2019-01-23
LRCX,Lam Research Corp,TAS,3.66,3.87,+5.74,2019-01-23
UCFC,United Community Financial Corp,TAS,0.2,0.18,-10,2019-01-23
WAT,Waters Corp,TAS,2.64,2.87,+8.71,2019-01-23
KMB,Kimberly-Clark Corp,TAS,1.65,1.6,-3.03,2019-01-23
CTXS,Citrix Systems Inc,TAS,1.59,1.67,+5.03,2019-01-23
CMRE,Costamare Inc,TAS,0.1,0.12,+20,2019-01-23
FXNC,First National Corp,Time Not Supplied,-,-,-,2019-01-23
FCAP,First Capital Inc,Time Not Supplied,-,-,-,2019-01-23
SLG,SL Green Realty Corp,TAS,0.27,-0.73,-370.37,2019-01-23
SLM,SLM Corp,TAS,0.27,0.33,+22.22,2019-01-23
CEFC,Commercial National Financial Corp,Before Market Open,-,-,-,2019-01-23
CMCSA,Comcast Corp,TAS,0.62,0.64,+3.23,2019-01-23
TRMK,Trustmark Corp,TAS,0.54,0.55,+1.85,2019-01-23
CHMG,Chemung Financial Corp,After Market Close,1.04,1.09,+4.81,2019-01-23
CNS,Cohen & Steers Inc,TAS,0.59,0.56,-5.08,2019-01-23
DYNE,Dyntek Inc,Time Not Supplied,-,-,-,2019-01-23
EAPH,Easton Pharmaceuticals Inc,Time Not Supplied,-,-,-,2019-01-23
RJF,Raymond James Financial Inc,After Market Close,1.73,1.79,+3.47,2019-01-23
FII,Federated Investors Inc,After Market Close,0.6,0.61,+1.67,2019-01-23
ORRF,Orrstown Financial Services Inc,After Market Close,0.16,0.36,+125,2019-01-23
FFIV,F5 Networks Inc,TAS,2.54,2.7,+6.3,2019-01-23
SYF,Synchrony Financial,TAS,0.93,1.09,+17.2,2019-01-23
FVCB,FVCBankcorp Inc,Time Not Supplied,0.27,0.26,-3.7,2019-01-23
NXGN,Nextgen Healthcare Inc,TAS,0.15,0.2,+33.33,2019-01-23
VAR,Varian Medical Systems Inc,TAS,1.07,1.06,-0.93,2019-01-23
PTC,PTC Inc,TAS,0.41,0.57,+39.02,2019-01-23
TXN,Texas Instruments Inc,TAS,1.24,1.27,+2.42,2019-01-23
TDY,Teledyne Technologies Inc,TAS,2.18,2.45,+12.39,2019-01-23
XLNX,Xilinx Inc,TAS,0.85,0.93,+9.41,2019-01-23
RWWI,Rand Worldwide Inc,Time Not Supplied,-,-,-,2019-01-23
HZO,MarineMax Inc,TAS,0.14,0.21,+50,2019-01-23
